iter	Logloss
0	0.6926876324
1	0.6922459683
2	0.6918234465
3	0.6914010147
4	0.6909120843
5	0.690415412
6	0.689747739
7	0.6889858086
8	0.6882757314
9	0.6878732432
10	0.6874218575
11	0.6870094318
12	0.6866377655
13	0.6860235105
14	0.6854003482
15	0.6848376995
16	0.6843665674
17	0.684061376
18	0.6835669873
19	0.683221701
20	0.6828838755
21	0.6824041815
22	0.6819899697
23	0.681572092
24	0.6811336948
25	0.6808813738
26	0.6804439682
27	0.6797799276
28	0.6794335471
29	0.678980654
30	0.6785546552
31	0.6781737161
32	0.6776867543
33	0.6773822487
34	0.6770910134
35	0.6766870747
36	0.6763116033
37	0.6759306012
38	0.675573758
39	0.6751565155
40	0.6748988279
41	0.6745935394
42	0.6743390761
43	0.6738672838
44	0.6735121063
45	0.673172917
46	0.6727544958
47	0.672352816
48	0.6721852317
49	0.6717854529
50	0.6714876035
51	0.6711188441
52	0.6708890754
53	0.6705434235
54	0.6702436856
55	0.6699022843
56	0.6696312815
57	0.6693851666
58	0.6691905372
59	0.6688695989
60	0.6684434535
61	0.668160395
62	0.6677966878
63	0.6675197805
64	0.6672764517
65	0.6669162576
66	0.666734032
67	0.6665254845
68	0.6662599256
69	0.6659196859
70	0.6657716252
71	0.6655485634
72	0.6652739753
73	0.6649188197
74	0.6646383237
75	0.6642163726
76	0.6639637437
77	0.6637574876
78	0.6635441273
79	0.6631787288
80	0.6628821917
81	0.6625353353
82	0.6621874476
83	0.66179859
84	0.6615380856
85	0.661194981
86	0.6608497879
87	0.660637061
88	0.6602491217
89	0.6599149709
90	0.6596817614
91	0.6593701527
92	0.6591746076
93	0.658842809
94	0.6584196035
95	0.6581497159
96	0.6576786007
97	0.6574291663
98	0.6572769235
99	0.6569414579
100	0.6567053227
101	0.656465636
102	0.6562611476
103	0.6560836166
104	0.6558750689
105	0.6555780181
106	0.65534299
107	0.6550606754
108	0.6548550676
109	0.6546395722
110	0.6544236051
111	0.6542156576
112	0.6539783879
113	0.6536587158
114	0.6533489307
115	0.6531714275
116	0.6528335565
117	0.6525914304
118	0.6523304368
119	0.6521185955
120	0.6518622553
121	0.6517123085
122	0.6514673282
123	0.6513173316
124	0.650932994
125	0.6506346967
126	0.650457127
127	0.6501863112
128	0.6499917932
129	0.6497457321
130	0.6495246371
131	0.649372101
132	0.6491107901
133	0.6488890803
134	0.648550988
135	0.6482437897
136	0.6479925024
137	0.6477954544
138	0.6474711492
139	0.6472222276
140	0.6469848328
141	0.6467360615
142	0.6465766975
143	0.6463992964
144	0.6461780252
145	0.6459875204
146	0.6457853485
147	0.6455312348
148	0.6452452124
149	0.645057509
150	0.6448027644
151	0.6446245437
152	0.6443697678
153	0.6441702323
154	0.6439588563
155	0.6438262418
156	0.6436200079
157	0.6434078052
158	0.6430650574
159	0.642821514
160	0.6425581504
161	0.6423469913
162	0.6421241059
163	0.6417932176
164	0.6413874435
165	0.6411566963
166	0.6408916104
167	0.6406438796
168	0.6403766481
169	0.6401296212
170	0.6398168837
171	0.6395944126
172	0.6394089313
173	0.6391914661
174	0.6388617633
175	0.6385969713
176	0.6384428783
177	0.638127437
178	0.6378980619
179	0.6375920923
180	0.6373964972
181	0.6370537454
182	0.6368054044
183	0.6365510394
184	0.6363255476
185	0.6360479873
186	0.6358356947
187	0.6356311441
188	0.6354540569
189	0.6351533501
190	0.6349027274
191	0.6347061845
192	0.6344490472
193	0.634291072
194	0.634056125
195	0.6337693643
196	0.6336159751
197	0.6332702076
198	0.6330672312
199	0.6328560236
200	0.6326651694
201	0.6324003582
202	0.6322159946
203	0.6319983767
204	0.6317158104
205	0.6314173242
206	0.6312201286
207	0.6308777138
208	0.6306981458
209	0.6305095077
210	0.6302330544
211	0.6299900784
212	0.62974367
213	0.6294496019
214	0.6293144235
215	0.6289992223
216	0.6287481153
217	0.6285231701
218	0.6282922183
219	0.6281585246
220	0.6279480878
221	0.6276239804
222	0.6274243679
223	0.6271212484
224	0.6269053607
225	0.6266193419
226	0.6263136112
227	0.6260878689
228	0.6256724344
229	0.6254603098
230	0.6252099251
231	0.6249297636
232	0.6247175398
233	0.6244750579
234	0.6242366796
235	0.6239473559
236	0.623602714
237	0.6232885272
238	0.6229707938
239	0.6226206918
240	0.6224036111
241	0.6220522913
242	0.6216700924
243	0.6213745697
244	0.6210522406
245	0.6207279283
246	0.6203059236
247	0.6199928934
248	0.6196987327
249	0.6193573883
250	0.6190283661
251	0.6186771182
252	0.6184297414
253	0.6180752632
254	0.617818768
255	0.6176020381
256	0.6172862837
257	0.6170252704
258	0.6167969199
259	0.6165516171
260	0.616180234
261	0.616017328
262	0.6157334558
263	0.6153950385
264	0.6150965003
265	0.6147398668
266	0.6145126987
267	0.6141652504
268	0.6135480574
269	0.6132038478
270	0.6129281651
271	0.6125862082
272	0.6123142586
273	0.6120055611
274	0.6116160813
275	0.6112394441
276	0.6110175912
277	0.6107267049
278	0.6103922644
279	0.6100664144
280	0.6097395724
281	0.6093498602
282	0.6091222767
283	0.6088615773
284	0.6086149156
285	0.6083383368
286	0.6080320582
287	0.607726881
288	0.6074039202
289	0.6070275047
290	0.6066401169
291	0.6063289927
292	0.6060592367
293	0.6057496173
294	0.6054430503
295	0.6050798016
296	0.6047467229
297	0.6044513404
298	0.6041527722
299	0.6038171055
